'date','min_prcp','max_prcp','avg_prcp','sum_prcp','min_snow','max_snow','avg_snow','sum_snow'
'2013-08-04',0.0,0.6500000000000000222,0.10142857142857142349,0.70999999999999996447,0.0,0.0,0.0,0.0
'2013-08-05',0.0,0.46000000000000001998,0.074285714285714288251,0.52000000000000001776,0.0,0.0,0.0,0.0
'2013-08-06',0.0,0.46000000000000001998,0.081428571428571433488,0.57000000000000006217,0.0,0.0,0.0,0.0
'2013-08-07',0.0,0.46000000000000001998,0.072857142857142856429,0.51000000000000000888,0.0,0.0,0.0,0.0
'2013-08-08',0.0,0.46000000000000001998,0.072857142857142856429,0.51000000000000000888,0.0,0.0,0.0,0.0
'2013-08-09',0.0,0.46000000000000001998,0.080000000000000001665,0.56000000000000005329,0.0,0.0,0.0,0.0
'2013-08-10',0.0,0.84999999999999997779,0.2014285714285714568,1.4100000000000001421,0.0,0.0,0.0,0.0
'2013-08-11',0.0,0.84999999999999997779,0.2014285714285714568,1.4100000000000001421,0.0,0.0,0.0,0.0
'2013-08-12',0.0,0.84999999999999997779,0.13571428571428570397,0.94999999999999995559,0.0,0.0,0.0,0.0
'2013-08-13',0.0,0.84999999999999997779,0.12857142857142858649,0.9000000000000000222,0.0,0.0,0.0,0.0
'2013-08-14',0.0,0.84999999999999997779,0.12857142857142858649,0.9000000000000000222,0.0,0.0,0.0,0.0
'2013-08-15',0.0,0.84999999999999997779,0.12857142857142858649,0.9000000000000000222,0.0,0.0,0.0,0.0
'2013-08-16',0.0,0.84999999999999997779,0.12142857142857142738,0.84999999999999997779,0.0,0.0,0.0,0.0
'2013-08-17',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'2013-08-18',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'2013-08-19',0.0,0.25,0.035714285714285712303,0.25,0.0,0.0,0.0,0.0
'2013-08-20',0.0,0.25,0.035714285714285712303,0.25,0.0,0.0,0.0,0.0
'2013-08-21',0.0,0.25,0.035714285714285712303,0.25,0.0,0.0,0.0,0.0
'2013-08-22',0.0,0.25,0.035714285714285712303,0.25,0.0,0.0,0.0,0.0
'2013-08-23',0.0,0.25,0.041428571428571425716,0.28999999999999998001,0.0,0.0,0.0,0.0
'2013-08-24',0.0,0.25,0.042857142857142857539,0.29999999999999998889,0.0,0.0,0.0,0.0
'2013-08-25',0.0,0.42999999999999999333,0.10428571428571428714,0.72999999999999998223,0.0,0.0,0.0,0.0
'2013-08-26',0.0,0.42999999999999999333,0.068571428571428574838,0.47999999999999998223,0.0,0.0,0.0,0.0
'2013-08-27',0.0,0.42999999999999999333,0.068571428571428574838,0.47999999999999998223,0.0,0.0,0.0,0.0
'2013-08-28',0.0,0.42999999999999999333,0.068571428571428574838,0.47999999999999998223,0.0,0.0,0.0,0.0
'2013-08-29',0.0,0.42999999999999999333,0.068571428571428574838,0.47999999999999998223,0.0,0.0,0.0,0.0
'2013-08-30',0.0,0.42999999999999999333,0.069999999999999992783,0.48999999999999999111,0.0,0.0,0.0,0.0
'2013-08-31',0.0,0.42999999999999999333,0.072857142857142856429,0.51000000000000000888,0.0,0.0,0.0,0.0
'2013-09-01',0.0,0.050000000000000002775,0.011428571428571428561,0.080000000000000001665,0.0,0.0,0.0,0.0
'2013-09-02',0.0,0.050000000000000002775,0.011428571428571428561,0.080000000000000001665,0.0,0.0,0.0,0.0
'2013-09-03',0.0,0.050000000000000002775,0.011428571428571428561,0.080000000000000001665,0.0,0.0,0.0,0.0
'2013-09-04',0.0,0.050000000000000002775,0.011428571428571428561,0.080000000000000001665,0.0,0.0,0.0,0.0
'2013-09-05',0.0,0.050000000000000002775,0.011428571428571428561,0.080000000000000001665,0.0,0.0,0.0,0.0
'2013-09-06',0.0,0.029999999999999998889,0.0042857142857142859274,0.029999999999999998889,0.0,0.0,0.0,0.0
'2013-09-07',0.0,0.010000000000000000208,0.0014285714285714285701,0.010000000000000000208,0.0,0.0,0.0,0.0
'2013-09-08',0.0,0.010000000000000000208,0.0014285714285714285701,0.010000000000000000208,0.0,0.0,0.0,0.0
'2013-09-09',0.0,1.6000000000000000888,0.23000000000000000999,1.6100000000000000976,0.0,0.0,0.0,0.0
'2013-09-10',0.0,1.6000000000000000888,0.23857142857142860092,1.6700000000000001509,0.0,0.0,0.0,0.0
'2013-09-11',0.0,1.6000000000000000888,0.23857142857142860092,1.6700000000000001509,0.0,0.0,0.0,0.0
'2013-09-12',0.0,1.6000000000000000888,0.23857142857142860092,1.6700000000000001509,0.0,0.0,0.0,0.0
'2013-09-13',0.0,1.6000000000000000888,0.24285714285714288251,1.7000000000000001776,0.0,0.0,0.0,0.0
'2013-09-14',0.0,1.6000000000000000888,0.24142857142857146457,1.6900000000000001687,0.0,0.0,0.0,0.0
'2013-09-15',0.0,1.6000000000000000888,0.24142857142857146457,1.6900000000000001687,0.0,0.0,0.0,0.0
'2013-09-16',0.0,0.059999999999999997779,0.012857142857142856914,0.089999999999999996669,0.0,0.0,0.0,0.0
'2013-09-17',0.0,0.029999999999999998889,0.0042857142857142859274,0.029999999999999998889,0.0,0.0,0.0,0.0
'2013-09-18',0.0,0.71999999999999997335,0.1071428571428571369,0.75,0.0,0.0,0.0,0.0
'2013-09-19',0.0,0.71999999999999997335,0.17142857142857143015,1.1999999999999999555,0.0,0.0,0.0,0.0
'2013-09-20',0.0,0.71999999999999997335,0.16714285714285712081,1.1699999999999999289,0.0,0.0,0.0,0.0
'2013-09-21',0.0,0.71999999999999997335,0.16714285714285712081,1.1699999999999999289,0.0,0.0,0.0,0.0
'2013-09-22',0.0,0.71999999999999997335,0.16714285714285712081,1.1699999999999999289,0.0,0.0,0.0,0.0
'2013-09-23',0.0,0.71999999999999997335,0.16714285714285712081,1.1699999999999999289,0.0,0.0,0.0,0.0
'2013-09-24',0.0,0.71999999999999997335,0.16714285714285712081,1.1699999999999999289,0.0,0.0,0.0,0.0
'2013-09-25',0.0,0.4500000000000000111,0.064285714285714293247,0.4500000000000000111,0.0,0.0,0.0,0.0
'2013-09-26',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'2013-09-27',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'2013-09-28',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'2013-09-29',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'2013-09-30',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'2013-10-01',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'2013-10-02',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'2013-10-03',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'2013-10-04',0.0,0.25,0.035714285714285712303,0.25,0.0,0.0,0.0,0.0
'2013-10-05',0.0,0.25,0.035714285714285712303,0.25,0.0,0.0,0.0,0.0
'2013-10-06',0.0,0.25,0.035714285714285712303,0.25,0.0,0.0,0.0,0.0
'2013-10-07',0.0,0.25,0.035714285714285712303,0.25,0.0,0.0,0.0,0.0
'2013-10-08',0.0,0.25,0.038571428571428575948,0.27000000000000001776,0.0,0.0,0.0,0.0
