'fare_amount','boro','boro_avg','zone','zone_avg','all_trips_avg'
13.769999999999999573,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
12.289999999999999147,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
17.199999999999999289,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
22.0,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
34.380000000000002558,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
30.129999999999999005,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
11.199999999999999289,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
43.549999999999997159,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
56.659999999999996591,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
100.0,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
33.499999999999999999,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
45.759999999999998012,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
62.380000000000002556,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
52.079999999999998295,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
42.200000000000002843,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
41.5,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
48.350000000000001422,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
20.660000000000000141,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
40.539999999999999148,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
22.05999999999999872,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
18.199999999999999289,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
9.9299999999999997157,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
43.659999999999996589,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
20.30000000000000071,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
23.120000000000000995,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
18.010000000000001563,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
40.659999999999996587,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
52.60000000000000142,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
55.500000000000000001,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
2.5,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
28.19999999999999929,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
6.5,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
32.380000000000002558,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
31.620000000000000994,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
52.65999999999999659,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
18.5,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
20.199999999999999288,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
53.200000000000002842,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
19.0,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
43.000000000000000001,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
64.599999999999994314,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
86.499999999999999996,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
54.499999999999999998,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
74.099999999999994317,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
35.140000000000000568,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
61.130000000000002556,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
41.799999999999997157,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
49.670000000000001706,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
36.829999999999998294,'Bronx',33.664313912464031374,'Allerton/Pelham Gardens',34.60572327044025087,32.907938449967488736
